onset	duration	shapeType	diffType	instrucType
16	5	frag	n/a	instr
21	0.25	frag	hard	task
24	0.25	frag	easy	task
27	0.25	frag	easy	task
33	0.25	frag	hard	task
36	0.25	frag	hard	task
42	0.25	frag	easy	task
45	0.25	frag	easy	task
48	0.25	frag	hard	task
51	0.25	frag	easy	task
57	0.25	frag	hard	task
60	0.25	frag	hard	task
63	0.25	frag	easy	task
66	0.25	frag	easy	task
69	0.25	frag	hard	task
72	0.25	frag	hard	task
78	0.25	frag	easy	task
84	0.25	frag	hard	task
87	0.25	frag	easy	task
90	0.25	frag	easy	task
93	0.25	frag	hard	task
126	5	illus	n/a	instr
131	0.25	illus	hard	task
134	0.25	illus	easy	task
137	0.25	illus	easy	task
143	0.25	illus	hard	task
146	0.25	illus	hard	task
152	0.25	illus	easy	task
155	0.25	illus	easy	task
158	0.25	illus	hard	task
161	0.25	illus	easy	task
167	0.25	illus	hard	task
170	0.25	illus	hard	task
173	0.25	illus	easy	task
176	0.25	illus	easy	task
179	0.25	illus	hard	task
182	0.25	illus	hard	task
188	0.25	illus	easy	task
194	0.25	illus	hard	task
197	0.25	illus	easy	task
200	0.25	illus	easy	task
203	0.25	illus	hard	task
236	5	illus	n/a	instr
241	0.25	illus	hard	task
244	0.25	illus	easy	task
247	0.25	illus	easy	task
250	0.25	illus	hard	task
256	0.25	illus	hard	task
259	0.25	illus	easy	task
265	0.25	illus	hard	task
268	0.25	illus	easy	task
271	0.25	illus	easy	task
274	0.25	illus	hard	task
280	0.25	illus	easy	task
283	0.25	illus	hard	task
286	0.25	illus	easy	task
289	0.25	illus	hard	task
292	0.25	illus	hard	task
295	0.25	illus	easy	task
304	0.25	illus	easy	task
307	0.25	illus	hard	task
310	0.25	illus	hard	task
313	0.25	illus	easy	task
346	5	frag	n/a	instr
351	0.25	frag	hard	task
354	0.25	frag	easy	task
357	0.25	frag	easy	task
360	0.25	frag	hard	task
366	0.25	frag	hard	task
369	0.25	frag	easy	task
375	0.25	frag	hard	task
378	0.25	frag	easy	task
381	0.25	frag	easy	task
384	0.25	frag	hard	task
390	0.25	frag	easy	task
393	0.25	frag	hard	task
396	0.25	frag	easy	task
399	0.25	frag	hard	task
402	0.25	frag	hard	task
405	0.25	frag	easy	task
414	0.25	frag	easy	task
417	0.25	frag	hard	task
420	0.25	frag	hard	task
423	0.25	frag	easy	task
456	5	frag	n/a	instr
461	0.25	frag	hard	task
464	0.25	frag	easy	task
467	0.25	frag	easy	task
473	0.25	frag	hard	task
476	0.25	frag	hard	task
482	0.25	frag	easy	task
485	0.25	frag	easy	task
488	0.25	frag	hard	task
491	0.25	frag	easy	task
497	0.25	frag	hard	task
500	0.25	frag	hard	task
503	0.25	frag	easy	task
506	0.25	frag	easy	task
509	0.25	frag	hard	task
512	0.25	frag	hard	task
518	0.25	frag	easy	task
524	0.25	frag	hard	task
527	0.25	frag	easy	task
530	0.25	frag	easy	task
533	0.25	frag	hard	task
566	5	illus	n/a	instr
571	0.25	illus	hard	task
574	0.25	illus	easy	task
577	0.25	illus	easy	task
583	0.25	illus	hard	task
586	0.25	illus	hard	task
592	0.25	illus	easy	task
595	0.25	illus	easy	task
598	0.25	illus	hard	task
601	0.25	illus	easy	task
607	0.25	illus	hard	task
610	0.25	illus	hard	task
613	0.25	illus	easy	task
616	0.25	illus	easy	task
619	0.25	illus	hard	task
622	0.25	illus	hard	task
628	0.25	illus	easy	task
634	0.25	illus	hard	task
637	0.25	illus	easy	task
640	0.25	illus	easy	task
643	0.25	illus	hard	task
676	5	illus	n/a	instr
681	0.25	illus	hard	task
684	0.25	illus	easy	task
687	0.25	illus	easy	task
690	0.25	illus	hard	task
696	0.25	illus	hard	task
699	0.25	illus	easy	task
705	0.25	illus	hard	task
708	0.25	illus	easy	task
711	0.25	illus	easy	task
714	0.25	illus	hard	task
720	0.25	illus	easy	task
723	0.25	illus	hard	task
726	0.25	illus	easy	task
729	0.25	illus	hard	task
732	0.25	illus	hard	task
735	0.25	illus	easy	task
744	0.25	illus	easy	task
747	0.25	illus	hard	task
750	0.25	illus	hard	task
753	0.25	illus	easy	task
786	5	frag	n/a	instr
791	0.25	frag	hard	task
794	0.25	frag	easy	task
797	0.25	frag	easy	task
800	0.25	frag	hard	task
806	0.25	frag	hard	task
809	0.25	frag	easy	task
815	0.25	frag	hard	task
818	0.25	frag	easy	task
821	0.25	frag	easy	task
824	0.25	frag	hard	task
830	0.25	frag	easy	task
833	0.25	frag	hard	task
836	0.25	frag	easy	task
839	0.25	frag	hard	task
842	0.25	frag	hard	task
845	0.25	frag	easy	task
854	0.25	frag	easy	task
857	0.25	frag	hard	task
860	0.25	frag	hard	task
863	0.25	frag	easy	task
